"","Gender","SpendingCelebrating","Candy","Flowers","Jewelry","GreetingCards","EveningOut","Clothing","GiftCards","HighestSpending","Affinity_Candy","Affinity_Flowers","Affinity_Jewelry","Affinity_GreetingCards","Affinity_EveningOut","Affinity_Clothing","Affinity_GiftCards"
"1","Men",27,52,56,30,37,33,20,18,"Flowers",93.6936936936937,149.333333333333,136.363636363636,92.5,106.451612903226,90.9090909090909,85.7142857142857
"2","Women",27,59,19,14,43,29,24,24,"Candy",106.306306306306,50.6666666666667,63.6363636363636,107.5,93.5483870967742,109.090909090909,114.285714285714
