"","Age","Age_cat","SpendingCelebrating","Candy","Flowers","Jewelry","GreetingCards","EveningOut","Clothing","GiftCards","HighestSpending","Affinity_Candy","Affinity_Flowers","Affinity_Jewelry","Affinity_GreetingCards","Affinity_EveningOut","Affinity_Clothing","Affinity_GiftCards"
"1","18-24",1,51,70,50,33,33,41,33,23,"Candy",122.80701754386,131.004366812227,144.525547445255,83.5443037974684,128.125,144.525547445255,108.661417322835
"2","25-34",2,40,62,44,34,33,37,27,19,"Candy",108.771929824561,115.28384279476,148.905109489051,83.5443037974684,115.625,118.248175182482,89.7637795275591
"3","35-44",3,31,58,41,29,42,30,26,22,"Candy",101.754385964912,107.423580786026,127.007299270073,106.329113924051,93.75,113.868613138686,103.937007874016
"4","45-54",4,19,60,37,20,42,31,20,23,"Candy",105.263157894737,96.943231441048,87.5912408759124,106.329113924051,96.875,87.5912408759124,108.661417322835
"5","55-64",5,18,50,32,13,43,29,19,20,"Candy",87.719298245614,83.8427947598253,56.9343065693431,108.860759493671,90.625,83.2116788321168,94.488188976378
"6","65+",6,13,42,25,8,44,24,12,20,"GreetingCards",73.6842105263158,65.5021834061135,35.036496350365,111.392405063291,75,52.5547445255474,94.488188976378
